no,user_diet,food_name,food_cal,food_carbo,food_protein,food_provi,summary,image
1,NORMAL,"흑미밥,얼큰버섯전골,계란찜,미역줄기볶음",475,66,19,16,다양한 식품을 선택하여 체내에서의 역할이 다른 여러 영양소를 균형있게 섭취해야 합니다.,https://image.greating.co.kr/IL/item/202303/15/B_32FEBD2BEBE14130814FA4D4A84D6802.jpg
2,NORMAL,"제육볶음,계란찜,연근조림,상추쌈,쌈장",310,31,18,12,식사는 일상생활의 원동력이므로 하루에 세끼를 규칙적으로 하고 즐거운 식사를 통하여 생활의 안정을 얻는 것이 중요합니다.,https://image.greating.co.kr/IL/item/202306/29/B_C8C1739D363045CAA9BCA1B6E2CDFDD0.jpg
3,NORMAL,"쌀밥,짬뽕국,두부강정,팽이버섯볶음",710,85,20,32,"덜 짜게, 덜 달게, 덜 기름지게 먹어야 합니다.",https://image.greating.co.kr/IL/item/202307/21/B_7B035957EF494672B86FCD4ACDCD85FC.jpg
4,NORMAL,"숙주소불고기,두부조림,무나물,멸치볶음,샐러드",355,18,17,24,"열량만 많이 있는 단 음식, 자극성이 많은 청량음료 등의 섭취는 절제해야 합니다.",https://image.greating.co.kr/IL/item/202401/18/B_B697EBF9137F4C11A8D96C18B20EF33A.jpg
5,NORMAL,"무생채볶음밥,우삼겹된장찌개,계란후라이",470,69,16,14.9,"과식을 피하고, 활동량을 늘려서 건강체중을 유지하세요. ",https://image.greating.co.kr/IL/item/202303/15/B_24775A58358A4902871383EC41A5DEDE.jpg
6,NORMAL,"쉬림프파스타,닭바베큐조림,구운채소,샐러드,당근라페",285,27,18,12,다양한 식품을 선택하여 체내에서의 역할이 다른 여러 영양소를 균형있게 섭취해야 합니다.,https://image.greating.co.kr/IL/item/202311/20/B_9D619B2B492949F0904A482FB070A4E9.jpg
7,NORMAL,"떡볶이,샐러드",310,75,15,3,식사는 일상생활의 원동력이므로 하루에 세끼를 규칙적으로 하고 즐거운 식사를 통하여 생활의 안정을 얻는 것이 중요합니다.,https://image.greating.co.kr/IL/item/202210/14/B_BB360A376A30400BB72CA6F5F02B4798.jpg
8,NORMAL,"돼지불고기,쭈꾸미볶음,감자조림,무비트생채,샐러드",315,37,16,12,"덜 짜게, 덜 달게, 덜 기름지게 먹어야 합니다.",https://image.greating.co.kr/IL/item/202309/07/B_92E28C2B496A43FA9344F58F687D7923.jpg
9,NORMAL,"마파두부덮밥,돼지고기짜장볶음,가지볶음,구운채소,샐러드",295,26,11,16,"열량만 많이 있는 단 음식, 자극성이 많은 청량음료 등의 섭취는 절제해야 합니다.",https://image.greating.co.kr/IL/item/202309/27/B_AAFB6DFE7ABD476C9C10EF093ED2F841.jpg
10,NORMAL,"돼지고기김치찜,두부숙주볶음,감자채볶음,샐러드,콩조림",350,30,16,19,"과식을 피하고, 활동량을 늘려서 건강체중을 유지하세요. ",https://image.greating.co.kr/IL/item/202303/22/B_BFFDBD664F614E16932BDA6EA9B27283.jpg
11,EXERCISE,"쌀밥,돼지고기콩비지찌개,완자전,어묵볶음",570,86,29,11.8,체력 증진을 위해 단백질 섭취가 필요합니다.,https://image.greating.co.kr/IL/item/202303/15/B_99A6752C323A4A83982905A05E276DF5.jpg
12,EXERCISE,"쌀밥,불고기전골,대파스크램블,멸치볶음",530,78,24,17,단백질은 사람의 몸을 구성하는 데 없어서는 안될 핵심 성분입니다.,https://image.greating.co.kr/IL/item/202308/09/B_862CBC48B7154A01B2BEE585ECA330AF.jpg
13,EXERCISE,"쌀밥,소불고기,버섯볶음,강된장,돼지감자장아찌,양배추쌈",525,76,24,16,단백질 식품은 탄수화물 식품에 비해 위에 남아 있는 시간이 길어서 포만감을 길게 유지시켜 줍니다.,https://image.greating.co.kr/IL/item/202303/29/B_4833F8BFA2244377A9C16DE2E4AA60C6.jpg
14,EXERCISE,"꼬마김밥,치킨강정",805,117,22,27,하루에 1.5L이상의 물을 꾸준히 마실 것을 추천합니다.,https://image.greating.co.kr/IL/item/202306/19/B_7144906637B94E178A58442277EA4D48.jpg
15,EXERCISE,"곤드레밥,코다리조림,사골국",715,120,37,10,고단백 식단은 좋지만 여기에 휩쓸려 무탄수 식단으로 가지 않도록 조심하세요.,https://image.greating.co.kr/IL/item/202306/08/B_5D7622BD37A346BA84A11E9D5E197E8D.jpg
